4890,01,02,49.19,0,46,23,50.4,5.39
4903,01,02,54.28,1,41,20,42.7,5.95
4906,01,02,56.66,1,07,53,24.3,4.27
4911,01,03,01.47,1,47,22,34.3,6.46
4914,01,03,02.60,0,04,50,10.9,5.4
4932,01,03,17.76,0,29,31,32.8,6.28
4962,01,03,37.01,1,61,04,29.4,5.92
4979,01,03,48.96,1,01,22,01.0,6.06
4998,01,04,02.39,1,52,30,08.3,5.99
5021,01,04,19.55,1,61,34,48.9,5.83
5034,01,04,27.57,1,29,39,32.8,6.2
5042,01,04,32.61,0,33,31,58.0,6.44
5074,01,04,52.62,1,05,39,22.7,6.03
5081,01,05,05.35,1,14,56,45.6,5.64
5121,01,05,36.90,0,09,58,45.3,6.09
5131,01,05,40.93,1,21,28,23.6,5.33
5132,01,05,41.68,1,21,27,55.7,5.55
5141,01,05,49.22,1,04,54,31.2,6.35
5165,01,06,05.11,0,46,43,06.6,3.32
5164,01,06,05.13,0,09,50,21.7,5.58
5170,01,06,07.73,0,23,59,32.5,6.12
5175,01,06,11.20,1,32,10,53.6,6.28
5204,01,06,33.62,1,12,57,21.5,6.14
5240,01,07,00.07,1,56,56,06.9,6.41
5251,01,07,09.44,1,53,29,53.5,6.31
5259,01,07,12.88,0,23,59,46.5,6.36
5268,01,07,18.57,0,61,46,30.9,5.36
5296,01,07,46.12,0,09,47,08.1,5.71
5300,01,07,47.83,0,41,29,13.0,5.21
5310,01,07,57.11,1,20,44,21.6,5.56
5315,01,07,59.58,1,01,59,38.7,6.44
5317,01,08,00.72,1,43,56,32.1,5.04
5319,01,08,01.20,1,32,00,43.9,6.23
5336,01,08,12.92,1,54,55,27.2,5.17
5346,01,08,22.34,1,05,39,00.8,5.51
5348,01,08,23.06,0,55,14,45.0,3.94
5361,01,08,33.45,1,58,15,48.5,5.77
5364,01,08,35.26,0,10,10,54.9,3.46
5372,01,08,44.16,1,86,15,25.6,4.24
5412,01,09,12.29,1,80,00,42.0,6.24
5434,01,09,30.12,1,47,14,30.6,4.26
5447,01,09,43.80,1,35,37,15.0,2.07
5454,01,09,49.20,1,19,39,30.2,5.57
5477,01,10,07.38,0,57,41,38.9,6.41
5483,01,10,11.43,1,15,40,26.3,6.07
5485,01,10,11.96,0,08,54,21.7,6.4
5493,01,10,18.85,1,42,04,53.7,5.67
5494,01,10,19.45,1,25,27,28.9,5.81
5510,01,10,33.56,1,02,26,44.6,5.97
5518,01,10,39.27,1,68,46,43.3,5.32
5542,01,11,05.93,1,55,08,59.8,4.34
5544,01,11,06.77,1,31,25,29.2,5.15
5550,01,11,10.29,1,37,43,26.9,5.8
5566,01,11,25.52,1,64,12,09.8,5.56
5571,01,11,27.19,1,21,02,04.8,4.66
5575,01,11,28.97,1,10,17,30.9,6.49
5586,01,11,39.59,1,30,05,23.0,4.51
5589,01,11,41.37,1,65,01,08.0,5.57
5594,01,11,43.54,0,02,15,03.7,5.93
5626,01,12,16.51,1,79,40,26.3,5.6
5650,01,12,34.06,1,45,20,14.9,6.13
5661,01,12,45.37,0,37,51,23.1,5.95
5679,01,12,59.46,1,30,03,51.5,6.24
5688,01,13,09.82,1,61,42,22.3,6.4
5737,01,13,43.80,1,07,34,31.8,5.21
5742,01,13,44.94,1,24,35,01.6,4.67
5743,01,13,45.17,1,07,34,42.2,6.44
5772,01,14,04.87,1,28,31,46.9,6.33
5778,01,14,07.65,1,16,08,00.8,5.97
5799,01,14,23.97,0,07,55,24.6,5.14
5824,01,14,42.40,1,06,59,42.7,6.04
5833,01,14,49.18,0,00,58,27.5,5.7
5862,01,15,10.57,0,45,31,55.5,4.97
5896,01,15,45.50,0,68,52,34.5,4.25
5926,01,16,11.90,1,71,44,37.8,5.87
5928,01,16,12.60,1,87,08,44.0,6.2
5936,01,16,18.90,1,33,06,53.3,6.04
5947,01,16,31.04,1,79,54,35.5,6.27
5951,01,16,36.35,0,02,30,00.8,5.42
5992,01,17,03.68,0,66,23,52.4,6.23
5993,01,17,05.05,1,44,54,07.5,6.11
6025,01,17,24.14,1,31,44,40.6,6.36
6061,01,17,47.98,1,03,36,52.3,5.13
6087,01,18,10.14,1,47,25,11.0,6.29
6093,01,18,13.89,1,57,48,11.4,6.39
6140,01,18,47.02,1,37,23,10.7,6.44
