94779,19 17 06.11,+53 22 05.4,3.8,26.48,60.22,122.93,K0III,0.95
88635,18 05 48.52,-30 25 25.1,2.98,33.94,-55.75,-181.53,K0III,0.981
111169,22 31 17.38,+50 16 56.8,3.76,31.86,137.22,17.15,A1V,0.031
102978,20 51 49.30,-26 55 08.9,4.12,5.19,-7.97,-2.54,K4III,1.633
33347,06 56 08.23,-17 03 15.3,4.36,1.06,-2.46,1.91,B3Ib/II,-0.063
21060,04 30 50.10,-44 57 13.5,5.07,4.59,2.44,-2.48,B2IV-V,-0.194
96837,19 41 02.93,+17 28 34.0,4.39,6.99,9.06,-33.9,G8II,1.041
78401,16 00 20.01,-22 37 17.8,2.29,8.12,-8.67,-36.9,B0.2IV,-0.117
37447,07 41 14.88,-09 33 03.9,3.94,22.61,-74.8,-19.64,K0III,1.022
10826,02 19 20.79,-02 58 37.4,6.47,7.79,10.33,-239.48,M5e-M9e,0.966
57936,11 52 54.56,-33 54 29.3,4.29,8.93,-58.02,2.4,Ap Si,-0.1
107089,21 41 28.47,-77 23 22.1,3.73,47.22,64.83,-240.38,K0III,1.008
82514,16 51 52.24,-38 02 50.4,3.0,3.97,-8.84,-21.6,B1.5IV + B,-0.2
23123,04 58 32.90,+01 42 50.5,4.47,3.42,-1.59,-7.93,K2IIvar,1.369
111188,22 31 30.29,-32 20 45.7,4.29,21.99,59.64,-18.7,A1V,0.011
109139,22 06 26.21,-13 52 10.3,4.29,18.9,40.45,-57.16,B8V,-0.075
8796,01 53 04.90,+29 34 45.8,3.42,50.87,12.02,-233.69,F6IV,0.488
113246,22 55 56.89,-32 32 22.9,4.2,19.14,10.84,30.32,G8III,0.952
60000,12 18 20.94,-79 18 44.2,4.24,12.05,-38.07,12.0,B5Vn,-0.123
94820,19 17 38.09,-18 57 10.4,4.88,6.09,-10.05,-10.64,K0III,1.013
98920,20 05 09.47,+19 59 27.2,5.09,20.17,30.61,79.65,K2III,1.058
92791,18 54 30.29,+36 53 55.0,4.22,3.63,-6.73,3.26,M4IIvar,1.575
45688,09 18 50.67,+36 48 10.4,3.82,26.75,-32.61,-123.78,A1V,0.066
109176,22 07 00.47,+25 20 42.2,3.77,85.06,296.73,26.93,F5V,0.435
84606,17 17 40.29,+37 17 28.8,4.64,18.34,-42.74,63.76,A2V,0.043
51839,10 35 28.22,-78 36 28.1,4.11,7.89,-38.0,11.53,M0III,1.58
8832,01 53 31.77,+19 17 38.7,3.88,15.96,79.43,-99.1,A1p Si,-0.047
8833,01 53 33.34,+03 11 14.9,4.61,17.11,23.69,23.9,K0III SB,0.928
37504,07 41 49.20,-72 36 22.1,3.93,24.36,33.38,15.29,K0III,1.033
8837,01 53 38.82,-46 18 08.8,4.39,10.15,-92.38,-91.46,M4III SB,1.597
88714,18 06 37.88,-50 05 29.2,3.65,3.22,-8.43,-9.26,B2Ib,-0.101
92814,18 54 43.12,-15 36 10.9,5.08,1.96,-2.38,-5.64,B3II,0.141
86670,17 42 29.28,-39 01 47.7,2.39,7.03,-6.49,-25.55,B1.5III,-0.171
58001,11 53 49.74,+53 41 41.0,2.41,38.99,107.76,11.16,A0V SB,0.044
53910,11 01 50.39,+56 22 56.4,2.34,41.07,81.66,33.74,A1V,0.033
27288,05 46 57.35,-14 49 19.0,3.55,46.47,-14.84,-1.18,A2Vann,0.104
74395,15 12 17.20,-52 05 56.7,3.41,28.06,-113.94,-71.0,G8III,0.918
78493,16 01 26.59,+29 51 03.9,4.98,9.29,-38.2,-6.9,A0p...,-0.05
677,00 08 23.17,+29 05 27.0,2.07,33.6,135.68,-162.95,B9p,-0.038
64166,13 09 03.28,-23 07 04.7,4.94,14.14,-19.97,-39.9,K0III,1.048
33449,06 57 16.60,+58 25 23.0,4.35,19.14,6.58,-123.53,G5III-IV,0.85
49841,10 10 35.40,-12 21 13.8,3.61,28.44,-200.33,-100.28,K0III,1.007
72370,14 47 51.73,-79 02 41.0,3.83,7.93,-5.67,-15.75,K5III,1.433
105140,21 17 56.25,-32 10 20.9,4.71,19.76,55.46,-22.12,A0V,0.07
8886,01 54 23.68,+63 40 12.5,3.35,7.38,31.98,-18.66,B2pvar,-0.15
92855,18 55 15.92,-26 17 47.7,2.05,14.54,13.87,-52.65,B2.5V,-0.134
31416,06 35 03.38,-22 57 53.4,4.54,7.92,13.11,16.52,A0III,-0.035
